year,district,discode,total_salary,avg_salary,n_FTE,avgCPI,adjust97,adjust21
1997,Savoy,2630000,165770,39469,4.2,164.7666667,39469.00798,66816.71318
1997,Scituate,2640000,8315218,44730,185.9,164.7666667,44730.00905,75723.0125
1997,Seekonk,2650000,6164293,44062,139.9,164.7666667,44062.00891,74592.16134
1997,Sharon,2660000,8711442,40406,215.6,164.7666667,40406.00817,68402.952
1997,Shawsheen Valley Regional Vocational Technical,8710000,5694361,50843,112,164.7666667,50843.01029,86071.65492
1997,Sherborn,2690000,1301710,47335,27.5,164.7666667,47335.00958,80132.99345
1997,Shirley,2700000,1713009,26977,63.5,164.7666667,26977.00546,45669.11934
1997,Shrewsbury,2710000,10982387,41474,264.8,164.7666667,41474.00839,70210.95955
1997,Shutesbury,2720000,607286,37955,16,164.7666667,37955.00768,64253.67627
1997,Silver Lake,7600000,8806549,44365,198.5,164.7666667,44365.00898,75105.1073
1997,Somerset,2730000,9358190,45650,205,164.7666667,45650.00924,77280.47218
1997,Somerville,2740000,20695572,39961,517.9,164.7666667,39961.00808,67649.61553
1997,South Hadley,2780000,6216732,39572,157.1,164.7666667,39572.00801,66991.08095
1997,South Middlesex Regional Vocational Technical,8290000,4214632,52683,80,164.7666667,52683.01066,89186.57428
1997,South Shore Regional Vocational Technical,8730000,2529071,48636,52,164.7666667,48636.00984,82335.44458
1997,Southampton,2750000,1182117,38133,31,164.7666667,38133.00771,64555.01086
1997,Southborough,2760000,3253439,45694,71.2,164.7666667,45694.00924,77354.95938
1997,Southbridge,2770000,7412507,38407,193,164.7666667,38407.00777,65018.86298
1997,Southeastern Regional Vocational Technical,8720000,3977683,41870,95,164.7666667,41870.00847,70881.34437
1997,Southern Berkshire,7650000,3311810,43519,76.1,164.7666667,43519.0088,73672.92155
1997,Southern Worcester County Regional Vocational Technical,8760000,4373922,44632,98,164.7666667,44632.00903,75557.10919
1997,Southwick-Tolland-Granville Regional School District,7660000,4975290,38037,130.8,164.7666667,38037.0077,64392.49333
1997,Spencer-E Brookfield,7670000,6362514,45124,141,164.7666667,45124.00913,76390.01154
1997,Springfield,2810000,74517141,39879,1868.6,164.7666667,39879.00807,67510.79847
1997,Stoneham,2840000,7619539,45247,168.4,164.7666667,45247.00915,76598.23713
1997,Stoughton,2850000,11710870,42050,278.5,164.7666667,42050.00851,71186.06474
1997,Sturbridge,2870000,2868209,46113,62.2,164.7666667,46113.00933,78064.2807
1997,Sudbury,2880000,7167416,47216,151.8,164.7666667,47216.00955,79931.53942
1997,Sunderland,2890000,720669,40487,17.8,164.7666667,40487.00819,68540.07617
1997,Sutton,2900000,3467213,41276,84,164.7666667,41276.00835,69875.76714
1997,Swampscott,2910000,6701022,42092,159.2,164.7666667,42092.00852,71257.16616
1997,Swansea,2920000,6023384,40699,148,164.7666667,40699.00823,68898.96906
1997,Tantasqua,7700000,5226198,45288,115.4,164.7666667,45288.00916,76667.64566
1997,Taunton,2930000,18655257,43183,432,164.7666667,43183.00874,73104.11019
1997,Tewksbury,2950000,11097883,45954,241.5,164.7666667,45954.0093,77795.11103
1997,Tisbury,2960000,1418285,45458,31.2,164.7666667,45458.0092,76955.43712
1997,Topsfield,2980000,1774969,40617,43.7,164.7666667,40617.00822,68760.152
1997,Tri County Regional Vocational Technical,8780000,3518047,46474,75.7,164.7666667,46474.0094,78675.41433
1997,Triton,7730000,8760436,43049,203.5,164.7666667,43049.00871,72877.2628
1997,Truro,3000000,495411,28309,17.5,164.7666667,28309.00573,47924.0501
1997,Tyngsborough,3010000,4420983,40374,109.5,164.7666667,40374.00817,68348.77949
1997,Up-Island Regional,7740000,1640972,43297,37.9,164.7666667,43297.00876,73297.09976
1997,Upper Cape Cod Regional Vocational Technical,8790000,1908200,35013,54.5,164.7666667,35013.00708,59273.19107
1997,Uxbridge,3040000,4605887,38543,119.5,164.7666667,38543.0078,65249.09615
1997,Wachusett,7750000,18674740,46443,402.1,164.7666667,46443.0094,78622.93471
1997,Wakefield,3050000,10562376,44548,237.1,164.7666667,44548.00901,75414.90635
1997,Wales,3060000,395452,31138,12.7,164.7666667,31138.0063,52713.23862
1997,Walpole,3070000,8745490,39447,221.7,164.7666667,39447.00798,66779.46958
1997,Waltham,3080000,19142643,41614,460,164.7666667,41614.00842,70447.96428
1997,Ware,3090000,3343949,35879,93.2,164.7666667,35879.00726,60739.23464
1997,Wareham,3100000,8829664,41946,210.5,164.7666667,41946.00849,71010.00408
1997,Watertown,3140000,9611781,49931,192.5,164.7666667,49931.0101,84527.73837
1997,Wayland,3150000,8989401,54847,163.9,164.7666667,54847.0111,92849.99031
1997,Webster,3160000,5755514,42824,134.4,164.7666667,42824.00866,72496.36234
1997,Wellesley,3170000,11909867,48831,243.9,164.7666667,48831.00988,82665.55832
1997,Wellfleet,3180000,685981,39652,17.3,164.7666667,39652.00802,67126.51222
1997,West Boylston,3220000,2995609,34002,88.1,164.7666667,34002.00688,57561.67832
1997,West Bridgewater,3230000,3113679,42537,73.2,164.7666667,42537.00861,72010.50263
1997,West Springfield,3320000,9741256,38412,253.6,164.7666667,38412.00777,65027.32744
1997,Westborough,3210000,9300407,46901,198.3,164.7666667,46901.00949,79398.27877
1997,Westfield,3250000,17314354,38306,452,164.7666667,38306.00775,64847.881
1997,Westford,3260000,10008376,46100,217.1,164.7666667,46100.00933,78042.27311
1997,Westhampton,3270000,369385,43457,8.5,164.7666667,43457.00879,73567.96231
1997,Weston,3300000,7262594,56695,128.1,164.7666667,56695.01147,95978.4528
1997,Westport,3310000,4488509,38429,116.8,164.7666667,38429.00777,65056.10658
1997,Westwood,3350000,8144098,47906,170,164.7666667,47906.00969,81099.63418
1997,Weymouth,3360000,19371066,31683,611.4,164.7666667,31683.00641,53635.86419
1997,Whately,3370000,351044,37747,9.3,164.7666667,37747.00764,63901.55495
1997,Whitman-Hanson,7800000,12207805,45081,270.8,164.7666667,45081.00912,76317.21723
1997,Whittier Regional Vocational Technical,8850000,4378080,42506,103,164.7666667,42506.0086,71958.02301
1997,Williamsburg,3400000,628358,33071,19,164.7666667,33071.00669,55985.59684
1997,Williamstown,3410000,1565112,41405,37.8,164.7666667,41405.00838,70094.15007
1997,Wilmington,3420000,9118427,45275,201.4,164.7666667,45275.00916,76645.63807
1997,Winchendon,3430000,4681521,32065,146,164.7666667,32065.00649,54282.54853
1997,Winchester,3440000,10657197,48464,219.9,164.7666667,48464.0098,82044.26734
1997,Winthrop,3460000,6433969,37847,170,164.7666667,37847.00766,64070.84405
1997,Woburn,3470000,16023021,45846,349.5,164.7666667,45846.00927,77612.27881
1997,Worcester,3480000,73898505,43165,1712,164.7666667,43165.00873,73073.63815
